일시,댓글내용,좋아요,싫어요
2024.07.16. 15:49,각 지역 별 자치단체는 착한 가격 가게를 대대적으로 홍보하여 소비자들도 좋고 가게도 대박 나도록 해야 한다. 대부분 사람들 가고 싶어도 몰라서 못 간다.,600,17
2024.07.16. 17:28,"해당 식당들 모두 승승장구하길 바란다. 요즘은 맛도 없고 실속도 없는데, 무조건 11,000~13,000원을 받는 데가 수두룩하다. 정말 터무없는 식당이 넘나 많다. 그러니 폐업이 속출하지.",383,9
2024.07.16. 17:35,"독립문 옆 영천시장 내 도깨비 칼국수집...칼국수 4,000원 냉면(비냉, 물냉) 5,000원...양도 듬뿍 맛은 따봉...",180,5
2024.07.16. 18:48,저거보고 폭리 취하는 몰지각 식당 등 반성하고 가격내려라,115,24
2024.07.16. 17:35,물가는 폭등하고있는데 술이나 퍼마시고 자빠져있는 침팬치 무리 우두머리와는 완전히 대비되는구먼 경동시장주변 맛집 많다는건 익히 들어아는데 돈줄내려가봐야것네 서민상대 맛집들 응원합니다,131,69
2024.07.16. 19:52,저도 지나가다 칼국수가 4천원이라 도대체 어떻게생긴 칼국수인지 궁금해서 가봤는데 만원하는 칼국수보다 더 괜찮았고 겉절이도 직접 담그시는거라 너무 맛있었어요ㅎㅎ,27,0
2024.07.16. 18:23,살인적인 임대료만 확 줄어들어도 아마 거의 모든 식당이 음식값 인하가 가능할 거다,15,0
2024.07.16. 17:49,망하는. 가계는 다 이유가 있다 (맛이없으면서. 비싸다~~)맛있는 가계는 남들보다 비싸지 않고 써비스도 좋고 맛또한 기가 막힌다~~~,14,0
2024.07.16. 21:04,그리고 너무 싼곳은 무조건 좋아하지마라 사장님 노동력 갈아 넣어서 만든곳,12,1
2024.07.16. 19:03,아무근거도 없이 너도나도 가격올리는집들 많음,9,1
2024.07.16. 22:19,"이게 착한가격이 아니고 다른 곳이 지나치게 비싼거야 그늠의 체인점  음식 만들줄도 모르면서 종업원 ㆍ실장  쓰면서 
여행 ㆍ골프나치로 댕기면서 체인점하니 가격 올릴수밖에ㅡㅡㅡ",8,0
2024.07.17. 07:53,국밥한그릇에 9천원선 이해하겠는데 주류는 왜 5천원인지 이해가 안됨,7,0
2024.07.16. 19:21,부산 부전시장 칼 국수 3천원.  엄청 맛있어요.,8,2
2024.07.16. 21:05,사실은 이것이 정상가격인데 인건비(최저임금)가 폭등하니 이 지경이 됐다. 정치하는 놈들마다 서민을 팔아 먹더만 지금 이 나라에서 진짜 서민은 소상공인 자영업자 1천만명이다. 나이가 젊고 건강해서 직장에 다니는 사람이 서민이 아니라 지금 新서민은 소상공인 자영업자 1천만명이다. 앞으로 노인인구는 폭증할텐데 아무런 대책도 없이 자영업자만 늘리니 자영업자가 봉인 나라다. 그리고 부동산폭등을 막으려면 구천을 헤메는 뿌려진 돈을 막아라. 문재인이나 이재명같은 놈들이 명동사채업자나 떠들법한 영혼없는 소득주도성장은 이 나라를 남미로 가자는거다.,12,7
2024.07.17. 02:29,저렇게까지 저렴할 필요는 없지만 제발 가격에 맞는 수준과 양으로 좀 만들어라.가격은 올리고 맛도 없고 양도 적으면 누가 가냐 그래놓고 장사 안된다고 찡찡,5,0
2024.07.16. 18:36,짜장면 3000원 짬뽕 4000원 맛집이 광진구에 있습니다 ㅋ,5,0
2024.07.16. 23:23,이런 거 기사 좀 내지마라. 그렇찮아도 싸다고 노인들이 항상 줄 서서 먹는데 더 알려지면 서서 기다리기도 힘들것다,5,1
2024.07.17. 04:48,싸고 다 좋은데 식당들 먹다남은 반찬 제발 재활용 하지 마세요. 한정식집 갔다가 다른 테이블서 반찬 많이 주고 쟁반에 남은 반찬 도로 가져가서 재활용 하는거보고 다시는 안갑니다.,4,0
2024.07.16. 20:36,"이 댓글들이 현 자영업자들 속마음입니다. 맛, 가격, 서비스 그 어느것도 개선할 생각도 없고 가격이 싼 곳이 나오니 그 가게때문에 주변상가 생각안하냐고 왜 싸게파느냐? 라고 하는게 말이 되는 소리입니까?  담합은 정부의 문제, 기업의 문제인줄로만 알았는데 속까지 썩은 국민의 문제였네요. 그러면서 기업의 담합문제를 욕할 자격이 됩니까?!! 스스로 변화하고 반성부터 하시길 바랍니다.",4,0
2024.07.16. 18:48,음식 순수한 원가 2천원~2천5백원  입니다. 그외 집세등등 들어가겠지요.그냥 집에서 해드세요.,4,1
2024.07.17. 08:13,"칭찬하고 응원 합니다~~~!!!! 그러나  물가인상 이 된것은  잘 알고 있지만은  터무니 없는  비싼 가격으로 식당을
  운영하는  값비싼  식당들이 너무나도 많고 많다",3,0
